              x              v
              0    0.093251095
     0.01010101     0.17650219
     0.02020202     0.25071405
     0.03030303     0.31675512
     0.04040404     0.37541042
    0.050505051     0.42738956
    0.060606061     0.47333394
    0.070707071     0.51382337
    0.080808081     0.54938193
    0.090909091     0.58048336
      0.1010101     0.60755589
     0.11111111      0.6309866
     0.12121212     0.65112538
     0.13131313     0.66828851
     0.14141414     0.68276187
     0.15151515     0.69480389
     0.16161616     0.70464816
     0.17171717     0.71250583
     0.18181818     0.71856777
     0.19191919      0.7230065
      0.2020202     0.72597798
     0.21212121     0.72762317
     0.22222222      0.7280695
     0.23232323     0.72743215
     0.24242424     0.72581524
     0.25252525     0.72331287
     0.26262626     0.72001012
     0.27272727     0.71598389
     0.28282828     0.71130368
     0.29292929     0.70603233
      0.3030303     0.70022664
     0.31313131     0.69393793
     0.32323232     0.68721262
     0.33333333     0.68009265
     0.34343434     0.67261594
     0.35353535     0.66481677
     0.36363636     0.65672611
     0.37373737     0.64837197
     0.38383838     0.63977967
     0.39393939     0.63097208
      0.4040404      0.6219699
     0.41414141      0.6127918
     0.42424242     0.60345471
     0.43434343     0.59397389
     0.44444444     0.58436315
     0.45454545     0.57463497
     0.46464646     0.56480064
     0.47474747     0.55487036
     0.48484848     0.54485334
     0.49494949     0.53475792
     0.50505051     0.52459162
     0.51515152     0.51436127
     0.52525253     0.50407301
     0.53535354     0.49373241
     0.54545455     0.48334449
     0.55555556     0.47291381
     0.56565657     0.46244446
     0.57575758     0.45194017
     0.58585859      0.4414043
      0.5959596     0.43083987
     0.60606061     0.42024963
     0.61616162     0.40963606
     0.62626263      0.3990014
     0.63636364     0.38834768
     0.64646465     0.37767673
     0.65656566     0.36699021
     0.66666667      0.3562896
     0.67676768     0.34557627
     0.68686869     0.33485144
      0.6969697     0.32411621
     0.70707071     0.31337157
     0.71717172     0.30261844
     0.72727273     0.29185764
     0.73737374     0.28108988
     0.74747475     0.27031586
     0.75757576     0.25953616
     0.76767677     0.24875133
     0.77777778     0.23796187
     0.78787879     0.22716822
      0.7979798     0.21637079
     0.80808081     0.20556993
     0.81818182     0.19476597
     0.82828283     0.18395922
     0.83838384     0.17314994
     0.84848485     0.16233838
     0.85858586     0.15152475
     0.86868687     0.14070925
     0.87878788     0.12989207
     0.88888889     0.11907335
      0.8989899     0.10825326
     0.90909091    0.097431927
     0.91919192    0.086609464
     0.92929293    0.075785981
     0.93939394    0.064961578
     0.94949495    0.054136343
     0.95959596    0.043310355
     0.96969697    0.032483688
     0.97979798    0.021656405
     0.98989899    0.010828567
              1  2.2699965e-07
