              x              v
   1.000000e-03   8.958063e-03
   1.998999e-03   1.781712e-02
   2.997998e-03   2.657816e-02
   3.996997e-03   3.524215e-02
   4.995996e-03   4.381006e-02
   5.994995e-03   5.228284e-02
   6.993994e-03   6.066144e-02
   7.992993e-03   6.894680e-02
   8.991992e-03   7.713983e-02
   9.990991e-03   8.524147e-02
   1.098999e-02   9.325262e-02
   1.198899e-02   1.011742e-01
   1.298799e-02   1.090070e-01
   1.398699e-02   1.167521e-01
   1.498599e-02   1.244101e-01
   1.598498e-02   1.319821e-01
   1.698398e-02   1.394689e-01
   1.798298e-02   1.468713e-01
   1.898198e-02   1.541902e-01
   1.998098e-02   1.614263e-01
   2.097998e-02   1.685806e-01
   2.197898e-02   1.756537e-01
   2.297798e-02   1.826466e-01
   2.397698e-02   1.895601e-01
   2.497598e-02   1.963948e-01
   2.597497e-02   2.031517e-01
   2.697397e-02   2.098314e-01
   2.797297e-02   2.164348e-01
   2.897197e-02   2.229626e-01
   2.997097e-02   2.294155e-01
   3.096997e-02   2.357943e-01
   3.196897e-02   2.420998e-01
   3.296797e-02   2.483326e-01
   3.396697e-02   2.544935e-01
   3.496597e-02   2.605832e-01
   3.596496e-02   2.666025e-01
   3.696396e-02   2.725519e-01
   3.796296e-02   2.784322e-01
   3.896196e-02   2.842441e-01
   3.996096e-02   2.899883e-01
   4.095996e-02   2.956654e-01
   4.195896e-02   3.012762e-01
   4.295796e-02   3.068212e-01
   4.395696e-02   3.123011e-01
   4.495596e-02   3.177166e-01
   4.595495e-02   3.230683e-01
   4.695395e-02   3.283568e-01
   4.795295e-02   3.335828e-01
   4.895195e-02   3.387469e-01
   4.995095e-02   3.438497e-01
   5.094995e-02   3.488919e-01
   5.194895e-02   3.538739e-01
   5.294795e-02   3.587965e-01
   5.394695e-02   3.636602e-01
   5.494595e-02   3.684655e-01
   5.594494e-02   3.732132e-01
   5.694394e-02   3.779037e-01
   5.794294e-02   3.825376e-01
   5.894194e-02   3.871155e-01
   5.994094e-02   3.916379e-01
   6.093994e-02   3.961054e-01
   6.193894e-02   4.005186e-01
   6.293794e-02   4.048779e-01
   6.393694e-02   4.091839e-01
   6.493594e-02   4.134372e-01
   6.593493e-02   4.176382e-01
   6.693393e-02   4.217875e-01
   6.793293e-02   4.258856e-01
   6.893193e-02   4.299330e-01
   6.993093e-02   4.339302e-01
   7.092993e-02   4.378777e-01
   7.192893e-02   4.417760e-01
   7.292793e-02   4.456256e-01
   7.392693e-02   4.494270e-01
   7.492593e-02   4.531806e-01
   7.592492e-02   4.568870e-01
   7.692392e-02   4.605466e-01
   7.792292e-02   4.641598e-01
   7.892192e-02   4.677272e-01
   7.992092e-02   4.712491e-01
   8.091992e-02   4.747261e-01
   8.191892e-02   4.781585e-01
   8.291792e-02   4.815469e-01
   8.391692e-02   4.848916e-01
   8.491592e-02   4.881931e-01
   8.591491e-02   4.914518e-01
   8.691391e-02   4.946682e-01
   8.791291e-02   4.978427e-01
   8.891191e-02   5.009756e-01
   8.991091e-02   5.040674e-01
   9.090991e-02   5.071186e-01
   9.190891e-02   5.101294e-01
   9.290791e-02   5.131004e-01
   9.390691e-02   5.160319e-01
   9.490591e-02   5.189243e-01
   9.590490e-02   5.217779e-01
   9.690390e-02   5.245933e-01
   9.790290e-02   5.273707e-01
   9.890190e-02   5.301105e-01
   9.990090e-02   5.328131e-01
   1.008999e-01   5.354789e-01
   1.018989e-01   5.381083e-01
   1.028979e-01   5.407015e-01
   1.038969e-01   5.432591e-01
   1.048959e-01   5.457812e-01
   1.058949e-01   5.482683e-01
   1.068939e-01   5.507207e-01
   1.078929e-01   5.531388e-01
   1.088919e-01   5.555229e-01
   1.098909e-01   5.578733e-01
   1.108899e-01   5.601904e-01
   1.118889e-01   5.624746e-01
   1.128879e-01   5.647260e-01
   1.138869e-01   5.669451e-01
   1.148859e-01   5.691322e-01
   1.158849e-01   5.712876e-01
   1.168839e-01   5.734116e-01
   1.178829e-01   5.755046e-01
   1.188819e-01   5.775667e-01
   1.198809e-01   5.795985e-01
   1.208799e-01   5.816000e-01
   1.218789e-01   5.835717e-01
   1.228779e-01   5.855139e-01
   1.238769e-01   5.874267e-01
   1.248759e-01   5.893107e-01
   1.258749e-01   5.911659e-01
   1.268739e-01   5.929927e-01
   1.278729e-01   5.947914e-01
   1.288719e-01   5.965623e-01
   1.298709e-01   5.983056e-01
   1.308699e-01   6.000216e-01
   1.318689e-01   6.017106e-01
   1.328679e-01   6.033728e-01
   1.338669e-01   6.050086e-01
   1.348659e-01   6.066181e-01
   1.358649e-01   6.082017e-01
   1.368639e-01   6.097596e-01
   1.378629e-01   6.112920e-01
   1.388619e-01   6.127993e-01
   1.398609e-01   6.142816e-01
   1.408599e-01   6.157392e-01
   1.418589e-01   6.171723e-01
   1.428579e-01   6.185813e-01
   1.438569e-01   6.199663e-01
   1.448559e-01   6.213276e-01
   1.458549e-01   6.226653e-01
   1.468539e-01   6.239798e-01
   1.478529e-01   6.252713e-01
   1.488519e-01   6.265400e-01
   1.498509e-01   6.277862e-01
   1.508498e-01   6.290099e-01
   1.518488e-01   6.302116e-01
   1.528478e-01   6.313913e-01
   1.538468e-01   6.325494e-01
   1.548458e-01   6.336860e-01
   1.558448e-01   6.348013e-01
   1.568438e-01   6.358956e-01
   1.578428e-01   6.369690e-01
   1.588418e-01   6.380219e-01
   1.598408e-01   6.390543e-01
   1.608398e-01   6.400664e-01
   1.618388e-01   6.410586e-01
   1.628378e-01   6.420309e-01
   1.638368e-01   6.429836e-01
   1.648358e-01   6.439169e-01
   1.658348e-01   6.448309e-01
   1.668338e-01   6.457259e-01
   1.678328e-01   6.466021e-01
   1.688318e-01   6.474595e-01
   1.698308e-01   6.482985e-01
   1.708298e-01   6.491192e-01
   1.718288e-01   6.499218e-01
   1.728278e-01   6.507064e-01
   1.738268e-01   6.514733e-01
   1.748258e-01   6.522226e-01
   1.758248e-01   6.529545e-01
   1.768238e-01   6.536691e-01
   1.778228e-01   6.543667e-01
   1.788218e-01   6.550474e-01
   1.798208e-01   6.557113e-01
   1.808198e-01   6.563588e-01
   1.818188e-01   6.569898e-01
   1.828178e-01   6.576045e-01
   1.838168e-01   6.582033e-01
   1.848158e-01   6.587860e-01
   1.858148e-01   6.593531e-01
   1.868138e-01   6.599045e-01
   1.878128e-01   6.604406e-01
   1.888118e-01   6.609613e-01
   1.898108e-01   6.614669e-01
   1.908098e-01   6.619575e-01
   1.918088e-01   6.624332e-01
   1.928078e-01   6.628943e-01
   1.938068e-01   6.633408e-01
   1.948058e-01   6.637730e-01
   1.958048e-01   6.641908e-01
   1.968038e-01   6.645946e-01
   1.978028e-01   6.649844e-01
   1.988018e-01   6.653603e-01
   1.998008e-01   6.657226e-01
   2.007998e-01   6.660713e-01
   2.017988e-01   6.664066e-01
   2.027978e-01   6.667286e-01
   2.037968e-01   6.670374e-01
   2.047958e-01   6.673332e-01
   2.057948e-01   6.676161e-01
   2.067938e-01   6.678862e-01
   2.077928e-01   6.681437e-01
   2.087918e-01   6.683886e-01
   2.097908e-01   6.686212e-01
   2.107898e-01   6.688415e-01
   2.117888e-01   6.690496e-01
   2.127878e-01   6.692457e-01
   2.137868e-01   6.694300e-01
   2.147858e-01   6.696024e-01
   2.157848e-01   6.697631e-01
   2.167838e-01   6.699123e-01
   2.177828e-01   6.700500e-01
   2.187818e-01   6.701764e-01
   2.197808e-01   6.702916e-01
   2.207798e-01   6.703957e-01
   2.217788e-01   6.704888e-01
   2.227778e-01   6.705710e-01
   2.237768e-01   6.706425e-01
   2.247758e-01   6.707033e-01
   2.257748e-01   6.707535e-01
   2.267738e-01   6.707932e-01
   2.277728e-01   6.708226e-01
   2.287718e-01   6.708417e-01
   2.297708e-01   6.708507e-01
   2.307698e-01   6.708497e-01
   2.317688e-01   6.708386e-01
   2.327678e-01   6.708178e-01
   2.337668e-01   6.707872e-01
   2.347658e-01   6.707469e-01
   2.357648e-01   6.706971e-01
   2.367638e-01   6.706378e-01
