              x              v
   1.000000e-02   8.581988e-02
   1.989899e-02   1.625914e-01
   2.979798e-02   2.311673e-01
   3.969697e-02   2.923201e-01
   4.959596e-02   3.467493e-01
   5.949495e-02   3.950886e-01
   6.939394e-02   4.379121e-01
   7.929293e-02   4.757395e-01
   8.919192e-02   5.090417e-01
   9.909091e-02   5.382453e-01
   1.089899e-01   5.637364e-01
   1.188889e-01   5.858651e-01
   1.287879e-01   6.049481e-01
   1.386869e-01   6.212726e-01
   1.485859e-01   6.350986e-01
   1.584848e-01   6.466614e-01
   1.683838e-01   6.561745e-01
   1.782828e-01   6.638310e-01
   1.881818e-01   6.698058e-01
   1.980808e-01   6.742576e-01
   2.079798e-01   6.773297e-01
   2.178788e-01   6.791523e-01
   2.277778e-01   6.798431e-01
   2.376768e-01   6.795088e-01
   2.475758e-01   6.782460e-01
   2.574747e-01   6.761422e-01
   2.673737e-01   6.732767e-01
   2.772727e-01   6.697212e-01
   2.871717e-01   6.655408e-01
   2.970707e-01   6.607944e-01
   3.069697e-01   6.555353e-01
   3.168687e-01   6.498119e-01
   3.267677e-01   6.436679e-01
   3.366667e-01   6.371429e-01
   3.465657e-01   6.302729e-01
   3.564646e-01   6.230904e-01
   3.663636e-01   6.156248e-01
   3.762626e-01   6.079028e-01
   3.861616e-01   5.999486e-01
   3.960606e-01   5.917840e-01
   4.059596e-01   5.834289e-01
   4.158586e-01   5.749013e-01
   4.257576e-01   5.662174e-01
   4.356566e-01   5.573919e-01
   4.455556e-01   5.484382e-01
   4.554545e-01   5.393683e-01
   4.653535e-01   5.301933e-01
   4.752525e-01   5.209229e-01
   4.851515e-01   5.115663e-01
   4.950505e-01   5.021315e-01
   5.049495e-01   4.926259e-01
   5.148485e-01   4.830562e-01
   5.247475e-01   4.734284e-01
   5.346465e-01   4.637480e-01
   5.445455e-01   4.540199e-01
   5.544444e-01   4.442487e-01
   5.643434e-01   4.344384e-01
   5.742424e-01   4.245927e-01
   5.841414e-01   4.147149e-01
   5.940404e-01   4.048081e-01
   6.039394e-01   3.948749e-01
   6.138384e-01   3.849180e-01
   6.237374e-01   3.749394e-01
   6.336364e-01   3.649413e-01
   6.435354e-01   3.549255e-01
   6.534343e-01   3.448936e-01
   6.633333e-01   3.348473e-01
   6.732323e-01   3.247877e-01
   6.831313e-01   3.147163e-01
   6.930303e-01   3.046340e-01
   7.029293e-01   2.945420e-01
   7.128283e-01   2.844411e-01
   7.227273e-01   2.743322e-01
   7.326263e-01   2.642160e-01
   7.425253e-01   2.540933e-01
   7.524242e-01   2.439646e-01
   7.623232e-01   2.338305e-01
   7.722222e-01   2.236915e-01
   7.821212e-01   2.135481e-01
   7.920202e-01   2.034006e-01
   8.019192e-01   1.932496e-01
   8.118182e-01   1.830952e-01
   8.217172e-01   1.729379e-01
   8.316162e-01   1.627778e-01
   8.415152e-01   1.526153e-01
   8.514141e-01   1.424506e-01
   8.613131e-01   1.322839e-01
   8.712121e-01   1.221154e-01
   8.811111e-01   1.119452e-01
   8.910101e-01   1.017736e-01
   9.009091e-01   9.160058e-02
   9.108081e-01   8.142635e-02
   9.207071e-01   7.125101e-02
   9.306061e-01   6.107466e-02
   9.405051e-01   5.089741e-02
   9.504040e-01   4.071934e-02
   9.603030e-01   3.054052e-02
   9.702020e-01   2.036102e-02
   9.801010e-01   1.018091e-02
   9.900000e-01   2.508734e-07
