              x              v
   0.000000e+00   6.143753e-02
   6.711409e-03   1.184306e-01
   1.342282e-02   1.712678e-01
   2.013423e-02   2.202187e-01
   2.684564e-02   2.655357e-01
   3.355705e-02   3.074547e-01
   4.026846e-02   3.461963e-01
   4.697987e-02   3.819666e-01
   5.369128e-02   4.149586e-01
   6.040268e-02   4.453525e-01
   6.711409e-02   4.733171e-01
   7.382550e-02   4.990101e-01
   8.053691e-02   5.225788e-01
   8.724832e-02   5.441612e-01
   9.395973e-02   5.638862e-01
   1.006711e-01   5.818744e-01
   1.073826e-01   5.982385e-01
   1.140940e-01   6.130840e-01
   1.208054e-01   6.265094e-01
   1.275168e-01   6.386068e-01
   1.342282e-01   6.494626e-01
   1.409396e-01   6.591572e-01
   1.476510e-01   6.677662e-01
   1.543624e-01   6.753598e-01
   1.610738e-01   6.820041e-01
   1.677852e-01   6.877607e-01
   1.744966e-01   6.926871e-01
   1.812081e-01   6.968373e-01
   1.879195e-01   7.002617e-01
   1.946309e-01   7.030074e-01
   2.013423e-01   7.051184e-01
   2.080537e-01   7.066359e-01
   2.147651e-01   7.075985e-01
   2.214765e-01   7.080421e-01
   2.281879e-01   7.080006e-01
   2.348993e-01   7.075052e-01
   2.416107e-01   7.065856e-01
   2.483221e-01   7.052692e-01
   2.550336e-01   7.035819e-01
   2.617450e-01   7.015476e-01
   2.684564e-01   6.991889e-01
   2.751678e-01   6.965269e-01
   2.818792e-01   6.935812e-01
   2.885906e-01   6.903704e-01
   2.953020e-01   6.869114e-01
   3.020134e-01   6.832206e-01
   3.087248e-01   6.793129e-01
   3.154362e-01   6.752024e-01
   3.221477e-01   6.709023e-01
   3.288591e-01   6.664249e-01
   3.355705e-01   6.617817e-01
   3.422819e-01   6.569834e-01
   3.489933e-01   6.520401e-01
   3.557047e-01   6.469613e-01
   3.624161e-01   6.417557e-01
   3.691275e-01   6.364316e-01
   3.758389e-01   6.309966e-01
   3.825503e-01   6.254580e-01
   3.892617e-01   6.198224e-01
   3.959732e-01   6.140963e-01
   4.026846e-01   6.082853e-01
   4.093960e-01   6.023951e-01
   4.161074e-01   5.964309e-01
   4.228188e-01   5.903973e-01
   4.295302e-01   5.842989e-01
   4.362416e-01   5.781400e-01
   4.429530e-01   5.719244e-01
   4.496644e-01   5.656558e-01
   4.563758e-01   5.593377e-01
   4.630872e-01   5.529732e-01
   4.697987e-01   5.465655e-01
   4.765101e-01   5.401172e-01
   4.832215e-01   5.336310e-01
   4.899329e-01   5.271095e-01
   4.966443e-01   5.205548e-01
   5.033557e-01   5.139691e-01
   5.100671e-01   5.073545e-01
   5.167785e-01   5.007128e-01
   5.234899e-01   4.940458e-01
   5.302013e-01   4.873552e-01
   5.369128e-01   4.806423e-01
   5.436242e-01   4.739088e-01
   5.503356e-01   4.671559e-01
   5.570470e-01   4.603849e-01
   5.637584e-01   4.535970e-01
   5.704698e-01   4.467933e-01
   5.771812e-01   4.399747e-01
   5.838926e-01   4.331423e-01
   5.906040e-01   4.262970e-01
   5.973154e-01   4.194396e-01
   6.040268e-01   4.125708e-01
   6.107383e-01   4.056915e-01
   6.174497e-01   3.988023e-01
   6.241611e-01   3.919038e-01
   6.308725e-01   3.849966e-01
   6.375839e-01   3.780814e-01
   6.442953e-01   3.711586e-01
   6.510067e-01   3.642288e-01
   6.577181e-01   3.572923e-01
   6.644295e-01   3.503496e-01
   6.711409e-01   3.434012e-01
   6.778523e-01   3.364473e-01
   6.845638e-01   3.294884e-01
   6.912752e-01   3.225248e-01
   6.979866e-01   3.155567e-01
   7.046980e-01   3.085845e-01
   7.114094e-01   3.016085e-01
   7.181208e-01   2.946288e-01
   7.248322e-01   2.876457e-01
   7.315436e-01   2.806595e-01
   7.382550e-01   2.736703e-01
   7.449664e-01   2.666784e-01
   7.516779e-01   2.596839e-01
   7.583893e-01   2.526869e-01
   7.651007e-01   2.456877e-01
   7.718121e-01   2.386864e-01
   7.785235e-01   2.316831e-01
   7.852349e-01   2.246779e-01
   7.919463e-01   2.176711e-01
   7.986577e-01   2.106626e-01
   8.053691e-01   2.036526e-01
   8.120805e-01   1.966412e-01
   8.187919e-01   1.896284e-01
   8.255034e-01   1.826145e-01
   8.322148e-01   1.755993e-01
   8.389262e-01   1.685831e-01
   8.456376e-01   1.615659e-01
   8.523490e-01   1.545478e-01
   8.590604e-01   1.475287e-01
   8.657718e-01   1.405088e-01
   8.724832e-01   1.334882e-01
   8.791946e-01   1.264668e-01
   8.859060e-01   1.194448e-01
   8.926174e-01   1.124221e-01
   8.993289e-01   1.053989e-01
   9.060403e-01   9.837505e-02
   9.127517e-01   9.135072e-02
   9.194631e-01   8.432590e-02
   9.261745e-01   7.730064e-02
   9.328859e-01   7.027495e-02
   9.395973e-01   6.324887e-02
   9.463087e-01   5.622242e-02
   9.530201e-01   4.919563e-02
   9.597315e-01   4.216851e-02
   9.664430e-01   3.514109e-02
   9.731544e-01   2.811338e-02
   9.798658e-01   2.108542e-02
   9.865772e-01   1.405720e-02
   9.932886e-01   7.028761e-03
   1.000000e+00   1.008887e-07
