              x              u
   1.000000e-04   8.995047e-04
   1.999900e-04   1.797921e-03
   2.999800e-04   2.695339e-03
   3.999700e-04   3.591760e-03
   4.999600e-04   4.487185e-03
   5.999500e-04   5.381616e-03
   6.999400e-04   6.275053e-03
   7.999300e-04   7.167497e-03
   8.999200e-04   8.058949e-03
   9.999100e-04   8.949411e-03
   1.099900e-03   9.838882e-03
   1.199890e-03   1.072736e-02
   1.299880e-03   1.161486e-02
   1.399870e-03   1.250137e-02
   1.499860e-03   1.338689e-02
   1.599850e-03   1.427143e-02
   1.699840e-03   1.515498e-02
   1.799830e-03   1.603755e-02
   1.899820e-03   1.691914e-02
   1.999810e-03   1.779974e-02
   2.099800e-03   1.867937e-02
   2.199790e-03   1.955802e-02
   2.299780e-03   2.043569e-02
   2.399770e-03   2.131238e-02
   2.499760e-03   2.218810e-02
   2.599750e-03   2.306284e-02
   2.699740e-03   2.393661e-02
   2.799730e-03   2.480940e-02
   2.899720e-03   2.568123e-02
   2.999710e-03   2.655208e-02
   3.099700e-03   2.742196e-02
   3.199690e-03   2.829087e-02
   3.299680e-03   2.915881e-02
   3.399670e-03   3.002579e-02
   3.499660e-03   3.089180e-02
   3.599650e-03   3.175684e-02
   3.699640e-03   3.262092e-02
   3.799630e-03   3.348404e-02
   3.899620e-03   3.434619e-02
   3.999610e-03   3.520739e-02
   4.099600e-03   3.606762e-02
   4.199590e-03   3.692689e-02
   4.299580e-03   3.778520e-02
   4.399570e-03   3.864256e-02
   4.499560e-03   3.949896e-02
   4.599550e-03   4.035440e-02
   4.699540e-03   4.120889e-02
   4.799530e-03   4.206242e-02
   4.899520e-03   4.291500e-02
   4.999510e-03   4.376663e-02
   5.099500e-03   4.461731e-02
   5.199490e-03   4.546704e-02
   5.299480e-03   4.631582e-02
   5.399470e-03   4.716365e-02
   5.499460e-03   4.801053e-02
   5.599450e-03   4.885647e-02
   5.699440e-03   4.970146e-02
   5.799430e-03   5.054551e-02
   5.899420e-03   5.138861e-02
   5.999410e-03   5.223077e-02
   6.099400e-03   5.307199e-02
   6.199390e-03   5.391227e-02
   6.299380e-03   5.475161e-02
