              x              u
   1.000000e-03   8.950212e-03
   1.998999e-03   1.779261e-02
   2.997998e-03   2.653718e-02
   3.996997e-03   3.518489e-02
   4.995996e-03   4.373672e-02
   5.994995e-03   5.219361e-02
   6.993994e-03   6.055650e-02
   7.992993e-03   6.882634e-02
   8.991992e-03   7.700404e-02
   9.990991e-03   8.509052e-02
   1.098999e-02   9.308670e-02
   1.198899e-02   1.009935e-01
   1.298799e-02   1.088117e-01
   1.398699e-02   1.165423e-01
   1.498599e-02   1.241861e-01
   1.598498e-02   1.317440e-01
   1.698398e-02   1.392168e-01
   1.798298e-02   1.466055e-01
   1.898198e-02   1.539107e-01
   1.998098e-02   1.611334e-01
   2.097998e-02   1.682744e-01
   2.197898e-02   1.753345e-01
   2.297798e-02   1.823145e-01
   2.397698e-02   1.892151e-01
   2.497598e-02   1.960373e-01
   2.597497e-02   2.027816e-01
   2.697397e-02   2.094491e-01
   2.797297e-02   2.160403e-01
   2.897197e-02   2.225560e-01
   2.997097e-02   2.289971e-01
   3.096997e-02   2.353642e-01
   3.196897e-02   2.416581e-01
   3.296797e-02   2.478795e-01
   3.396697e-02   2.540291e-01
   3.496597e-02   2.601077e-01
   3.596496e-02   2.661159e-01
   3.696396e-02   2.720544e-01
   3.796296e-02   2.779240e-01
   3.896196e-02   2.837253e-01
   3.996096e-02   2.894591e-01
   4.095996e-02   2.951259e-01
   4.195896e-02   3.007264e-01
   4.295796e-02   3.062614e-01
   4.395696e-02   3.117313e-01
   4.495596e-02   3.171370e-01
   4.595495e-02   3.224791e-01
   4.695395e-02   3.277581e-01
   4.795295e-02   3.329746e-01
   4.895195e-02   3.381295e-01
   4.995095e-02   3.432231e-01
   5.094995e-02   3.482562e-01
   5.194895e-02   3.532293e-01
   5.294795e-02   3.581430e-01
   5.394695e-02   3.629980e-01
   5.494595e-02   3.677948e-01
   5.594494e-02   3.725340e-01
   5.694394e-02   3.772161e-01
   5.794294e-02   3.818418e-01
   5.894194e-02   3.864115e-01
   5.994094e-02   3.909259e-01
   6.093994e-02   3.953855e-01
   6.193894e-02   3.997909e-01
   6.293794e-02   4.041425e-01
   6.393694e-02   4.084409e-01
   6.493594e-02   4.126867e-01
   6.593493e-02   4.168803e-01
   6.693393e-02   4.210223e-01
   6.793293e-02   4.251133e-01
   6.893193e-02   4.291536e-01
   6.993093e-02   4.331438e-01
   7.092993e-02   4.370845e-01
   7.192893e-02   4.409760e-01
   7.292793e-02   4.448189e-01
   7.392693e-02   4.486137e-01
   7.492593e-02   4.523609e-01
   7.592492e-02   4.560609e-01
   7.692392e-02   4.597141e-01
   7.792292e-02   4.633211e-01
   7.892192e-02   4.668824e-01
   7.992092e-02   4.703983e-01
   8.091992e-02   4.738693e-01
   8.191892e-02   4.772959e-01
   8.291792e-02   4.806785e-01
   8.391692e-02   4.840175e-01
   8.491592e-02   4.873135e-01
   8.591491e-02   4.905667e-01
   8.691391e-02   4.937777e-01
   8.791291e-02   4.969468e-01
   8.891191e-02   5.000745e-01
   8.991091e-02   5.031611e-01
   9.090991e-02   5.062072e-01
   9.190891e-02   5.092130e-01
   9.290791e-02   5.121791e-01
   9.390691e-02   5.151057e-01
   9.490591e-02   5.179933e-01
   9.590490e-02   5.208423e-01
   9.690390e-02   5.236530e-01
   9.790290e-02   5.264258e-01
   9.890190e-02   5.291612e-01
   9.990090e-02   5.318594e-01
   1.008999e-01   5.345209e-01
   1.018989e-01   5.371460e-01
   1.028979e-01   5.397351e-01
   1.038969e-01   5.422885e-01
   1.048959e-01   5.448066e-01
   1.058949e-01   5.472898e-01
   1.068939e-01   5.497383e-01
   1.078929e-01   5.521526e-01
   1.088919e-01   5.545329e-01
   1.098909e-01   5.568796e-01
   1.108899e-01   5.591931e-01
   1.118889e-01   5.614737e-01
   1.128879e-01   5.637216e-01
   1.138869e-01   5.659373e-01
   1.148859e-01   5.681210e-01
   1.158849e-01   5.702731e-01
   1.168839e-01   5.723939e-01
   1.178829e-01   5.744836e-01
   1.188819e-01   5.765427e-01
   1.198809e-01   5.785714e-01
   1.208799e-01   5.805699e-01
   1.218789e-01   5.825387e-01
